code,name,roe,net_profit,np_margin,gp_margin
sh.688002,sh.688002,6.8591,4.6118555816,23.7131,53.4041
sz.000612,sz.000612,6.857,5.107391307,29.074499999999997,36.437000000000005
sz.301536,sz.301536,6.816800000000001,2.2123855159,22.2622,46.0536
sz.002558,sz.002558,6.8145,11.659281062,50.071799999999996,95.3777
sz.300628,sz.300628,6.7917000000000005,6.5579605424,45.7947,65.2371
sz.301606,sz.301606,6.788900000000001,2.3763473926,8.492700000000001,39.257799999999996
sz.002345,sz.002345,6.7694,2.6465851813,10.5936,26.917099999999998
sz.000792,sz.000792,6.751899999999999,34.8972027123,54.25600000000001,68.7225
sh.603233,sh.603233,6.7083,5.435724499500001,7.795100000000001,36.045
sz.002818,sz.002818,6.6987000000000005,6.9064005795000005,267.5088,63.805800000000005
sh.600183,sh.600183,6.6845,13.3230757573,16.3645,28.101300000000002
sh.603986,sh.603986,6.5999,14.7251525726,35.1597,57.0767
sh.605138,sh.605138,6.568499999999999,1.7028312038,18.834999999999997,17.6809
sh.600354,sh.600354,6.518699999999999,1.5570252851,24.9191,43.9645
sz.000858,sz.000858,6.5041,83.2378036873,36.447,81.4344
sz.300970,sz.300970,6.499099999999999,1.1927171509,28.7926,32.1329
sh.688155,sh.688155,6.447500000000001,1.9297854019999998,18.6784,30.304
sz.002602,sz.002602,6.4398,20.4885735844,18.6083,72.0479
sz.300548,sz.300548,6.415,2.1352269564,31.8403,49.221900000000005
sz.000681,sz.000681,6.4142,2.4041157029,129.72889999999998,42.3697
sh.603256,sh.603256,6.3432,1.4023075090000001,31.719199999999997,55.6546
sz.300458,sz.300458,6.3107,2.0303042889,22.263099999999998,40.2106
sz.000596,sz.000596,6.279999999999999,16.5730648957,22.258300000000002,77.8457
sh.601872,sh.601872,6.2757,27.7830146277,32.4719,41.7937
sh.603708,sh.603708,6.2661,1.5171822085,3.0049,24.0312
sz.002493,sz.002493,6.2581,50.1176116032,8.2662,19.6935
sh.600549,sh.600549,6.2352,16.8214346529,10.6849,21.003800000000002
sz.002555,sz.002555,6.2311,8.7097528541,23.4109,77.8771
sh.603132,sh.603132,6.1949,2.0492757845,38.797599999999996,70.38069999999999
sh.605099,sh.605099,6.1852,2.007381391,21.9631,34.6101
sh.601138,sh.601138,6.1777999999999995,105.96519,4.2204,7.3505
sz.300529,sz.300529,6.1497,2.2064773637,39.3576,77.2502
sz.300953,sz.300953,6.1405,2.8148768876999997,9.481100000000001,15.8136
sz.002648,sz.002648,6.1356,21.169888633499998,16.6996,24.3379
sh.603195,sh.603195,6.1146,10.5961719702,26.0975,42.7398
sz.002956,sz.002956,6.0921,1.0195935186,12.3757,44.0786
sh.603588,sh.603588,6.0592,7.2248991435,14.4721,24.266
sh.603379,sh.603379,6.0518,4.9966749505,35.7418,53.42360000000001
sz.300181,sz.300181,6.0442,2.0201162175,22.5008,63.834599999999995
